episode,reward,success,step,cost,action_list
0,-1003.5428947517395,,356,,
1,-3.7567692405700646,,500,,
2,-1003.3188411216736,,330,,
3,-1003.1208757858276,,310,,
4,-1003.4624252166748,,347,,
5,-1003.0578827079772,,304,,
6,-1002.508571673584,,235,,
7,-3.6173467296600332,,500,,
8,-1002.9505244758606,,282,,
9,-4.192068350219726,,500,,
10,996.6467457839965,,475,,
11,-3.685212177085879,,500,,
12,-3.560504753494261,,500,,
13,-4.021024722671507,,500,,
14,-4.2233967830657955,,500,,
15,-1002.7810652709961,,261,,
16,-3.767327822303771,,500,,
17,-4.067155819320679,,500,,
18,996.522354675293,,485,,
19,-3.647196035575874,,500,,
20,-4.33575257339478,,500,,
21,-3.836550752639768,,500,,
22,996.693230429554,,446,,
23,-3.9390949703216545,,500,,
24,-1003.5820225227357,,378,,
25,-3.6226013568878184,,500,,
26,996.6175401866914,,475,,
27,-1003.3648631019593,,340,,
28,-4.154101790618894,,500,,
29,-4.454979001617434,,500,,
30,-3.6378322830200123,,500,,
31,-1003.4894022453308,,346,,
32,-3.5953126127243036,,500,,
33,-1003.0058135223388,,283,,
34,-3.9814969192504854,,500,,
35,-4.447899150085449,,500,,
36,-3.3689447099685688,,500,,
37,996.3940714873314,,500,,
38,-3.7977052436828638,,500,,
39,-3.7211108852386463,,500,,
40,-3.643596037864686,,500,,
41,-3.5060075332641594,,500,,
42,-3.816905583953858,,500,,
43,-4.049039911270142,,500,,
44,-4.200965087127687,,500,,
45,-3.6220209466934223,,500,,
46,-3.5436002725601217,,500,,
47,996.4147822049141,,482,,
48,-3.4138300107955923,,500,,
49,-3.5660040544509872,,500,,
50,-3.586362217903142,,500,,
51,-4.038068077087402,,500,,
52,-3.3830225328445427,,500,,
53,-3.833229073715208,,500,,
54,-3.6902348079681406,,500,,
55,-3.9529980953216532,,500,,
56,-3.51015956115723,,500,,
57,-3.772330594635007,,500,,
58,-3.9981020236969003,,500,,
59,-3.97103452949524,,500,,
60,-3.7477142894744904,,500,,
61,996.3698129061698,,491,,
62,-3.574182382583618,,500,,
63,-3.855688806343079,,500,,
64,-3.8623257724761966,,500,,
65,-3.5587083951950054,,500,,
66,-4.013426050567623,,500,,
67,-4.622274604034419,,500,,
68,-3.6864498382568356,,500,,
69,-3.827422921180723,,500,,
70,996.5596234084129,,482,,
71,-4.277016757202145,,500,,
72,-3.932139920425418,,500,,
73,-3.631094287490846,,500,,
74,-4.447606751251222,,500,,
75,-3.6978621635437006,,500,,
76,-3.390011909103389,,500,,
77,-3.9377445438384973,,500,,
78,-3.4651778314590436,,500,,
79,-3.7038402801513692,,500,,
80,-3.9870521499633784,,500,,
81,-4.645353293609619,,500,,
82,-1000.1536929252624,,13,,
83,-3.406570518493658,,500,,
84,-3.45946756095886,,500,,
85,996.6083350038529,,472,,
86,-4.250394910430907,,500,,
87,-3.6329785964965837,,500,,
88,-3.757045740699767,,500,,
89,-3.958748755645755,,500,,
90,-4.338883902740479,,500,,
91,-3.87736614074707,,500,,
92,-4.2939358039855975,,500,,
93,-4.05429040374756,,500,,
94,-3.4213196594238298,,500,,
95,-4.131360716438294,,500,,
96,-3.9152624229431154,,500,,
97,-1000.3254664512634,,28,,
98,-3.5246353614807124,,500,,
99,-3.5994010677337624,,500,,
