episode,reward,success,step,cost,action_list
0,-1003.4836234870911,,354,,
1,-3.7175785537719745,,500,,
2,-1002.8934235725403,,276,,
3,-1003.4854944160461,,357,,
4,-1003.0496088027954,,295,,
5,-1002.9685542312621,,283,,
6,-1002.5605765708923,,244,,
7,996.5753261659622,,483,,
8,-1003.4156941406251,,349,,
9,-1003.5618025329591,,355,,
10,-1002.5264613449096,,231,,
11,-3.4776065217971834,,500,,
12,-3.7350469762802128,,500,,
13,-1003.998804056549,,418,,
14,-4.462788090515137,,500,,
15,-3.9873564186096195,,500,,
16,-1002.6541607467651,,252,,
17,-4.057269443130497,,500,,
18,-1004.0893601112366,,473,,
19,-4.265615519332886,,500,,
20,-3.7309746913909896,,500,,
21,-3.8294941051483145,,500,,
22,-3.849064465713498,,500,,
23,-3.9799821990966806,,500,,
24,-3.7968828025817905,,500,,
25,-1002.8161785346985,,268,,
26,-4.367233146667482,,500,,
27,-3.5838125694274887,,500,,
28,-1003.3491129608154,,339,,
29,-4.54249248580933,,500,,
30,-4.014723347091673,,500,,
31,-3.5901973323822047,,500,,
32,-3.8790621902465827,,500,,
33,-4.093359475326541,,500,,
34,-1004.0987731994629,,428,,
35,-3.9172136142730727,,500,,
36,996.4896636920929,,471,,
37,-4.112658922576906,,500,,
38,-3.73000326309204,,500,,
39,-3.6868894290924072,,500,,
40,-3.892429516220096,,500,,
41,-3.6005865350723254,,500,,
42,-3.965848099517821,,500,,
43,-4.172201881408689,,500,,
44,-3.5763183433532713,,500,,
45,-4.310039745330806,,500,,
46,-4.168004488372802,,500,,
47,996.554226927662,,468,,
48,-3.5318460048675515,,500,,
49,-3.6919686725616385,,500,,
50,-4.192962857818608,,500,,
51,-3.717963868141175,,500,,
52,-3.7449697256088275,,500,,
53,-3.5506857147216815,,500,,
54,-3.529073074531557,,500,,
55,-3.6441105300903307,,500,,
56,996.9431174714089,,427,,
57,-4.409005512237547,,500,,
58,-3.5216879106521555,,500,,
59,-3.909880546569827,,500,,
60,-3.7318923297882076,,500,,
61,-3.4058144817352294,,500,,
62,-3.594005993080132,,500,,
63,-3.637329466056824,,500,,
64,-3.398883949279784,,500,,
65,-4.107212643051148,,500,,
66,-3.7378947395324698,,500,,
67,-4.013162593460084,,500,,
68,-4.23903838005066,,500,,
69,-3.9120172584533703,,500,,
70,996.4790690758706,,478,,
71,-3.6684311054229717,,500,,
72,-4.359393981170659,,500,,
73,-3.775359744262696,,500,,
74,-3.745211104583736,,500,,
75,-4.357271016693114,,500,,
76,-4.617238151550291,,500,,
77,996.7577643118859,,455,,
78,-3.482915571784978,,500,,
79,-3.7156761520385713,,500,,
80,-3.7730515613555866,,500,,
81,-3.890633817672728,,500,,
82,-3.516152582550049,,500,,
83,-3.9794132518768284,,500,,
84,997.0811075814247,,397,,
85,-3.5041846755981445,,500,,
86,-4.340905290985113,,500,,
87,-3.532131711769107,,500,,
88,-3.67912923259735,,500,,
89,996.4290195958138,,487,,
90,-4.356568033599856,,500,,
91,-4.15014478302002,,500,,
92,996.5915326910019,,499,,
93,-3.8564757587432847,,500,,
94,-3.350709244918822,,500,,
95,-4.146320854187013,,500,,
96,-3.477313186645507,,500,,
97,-3.8697667491912866,,500,,
98,996.7074438765526,,447,,
99,-3.9581630706787103,,500,,
