episode,reward,success,step,cost,action_list
0,-1003.5914883964538,,365,,
1,-3.8453496337890662,,500,,
2,-1003.2020974678039,,312,,
3,-1003.5737404029846,,394,,
4,-1003.0770423576355,,292,,
5,-1003.3779204933167,,349,,
6,-1003.288155419922,,328,,
7,-3.709226664733889,,500,,
8,-1002.780449131775,,265,,
9,-1003.5121629631042,,378,,
10,-3.6540801445007345,,500,,
11,-4.734639704513544,,500,,
12,-4.138890723800658,,500,,
13,-1002.960038105011,,279,,
14,-3.451826226997373,,500,,
15,-3.908317273330688,,500,,
16,-4.02591764793396,,500,,
17,-1002.6954516494751,,251,,
18,-1003.2088418403625,,307,,
19,-3.7724799854278603,,500,,
20,-1003.4635919807433,,347,,
21,-4.4723684654235845,,500,,
22,-3.8159523138046283,,500,,
23,-4.252884702301024,,500,,
24,-1003.4409404342651,,359,,
25,-3.6886466064453134,,500,,
26,-3.9911978874206526,,500,,
27,-3.80622501373291,,500,,
28,-1002.944366733551,,284,,
29,-3.823355448532105,,500,,
30,-1003.5835174468994,,372,,
31,-3.7756094173431425,,500,,
32,-3.903142474746703,,500,,
33,-3.798082547378547,,500,,
34,-1003.0834678665161,,292,,
35,-4.340976879882812,,500,,
36,-4.791010586547852,,500,,
37,996.8959871299743,,448,,
38,-4.0169685569763205,,500,,
39,-1004.2726936485291,,477,,
40,-3.691504067611695,,500,,
41,-3.406751026058197,,500,,
42,-3.6111615730285647,,500,,
43,996.5518916136741,,469,,
44,-1002.859894153595,,274,,
45,-3.6712365566253617,,500,,
46,-1003.6745856025697,,387,,
47,-1004.057127596283,,474,,
48,-3.543437863540651,,500,,
49,-3.67104088745117,,500,,
50,-3.43273215312958,,500,,
51,-3.7670983974456793,,500,,
52,-3.9930976799011293,,500,,
53,-3.5853229085922234,,500,,
54,-3.351500033950801,,500,,
55,-3.950292139434818,,500,,
56,-3.7119565649032613,,500,,
57,996.7370762104988,,430,,
58,-4.054143650436406,,500,,
59,-4.09983522872925,,500,,
60,-4.034905320930483,,500,,
61,-1003.6687250831603,,363,,
62,996.5546741710663,,462,,
63,-4.008313946914675,,500,,
64,-3.479051449203488,,500,,
65,-1003.7254636528015,,389,,
66,-3.998693527221684,,500,,
67,-1003.1885181747436,,318,,
68,-3.4863576488494847,,500,,
69,-4.188621509933472,,500,,
70,-1003.7896807258606,,402,,
71,-3.6816622514724737,,500,,
72,-4.121331422424316,,500,,
73,-4.319212155532839,,500,,
74,-3.809544567108157,,500,,
75,-3.90779437179565,,500,,
76,-3.517127861404419,,500,,
77,-3.802355041503911,,500,,
78,-3.472115568923949,,500,,
79,-3.91735289878845,,500,,
80,-3.801805926704409,,500,,
81,-4.158281028366086,,500,,
82,-4.262457787704464,,500,,
83,-3.6514126771926865,,500,,
84,996.4656125451088,,495,,
85,-1002.8222401351928,,261,,
86,-3.6534681808471667,,500,,
87,-3.4975267908096277,,500,,
88,-4.268371037292478,,500,,
89,-1003.930948675537,,408,,
90,-3.6800605777740514,,500,,
91,-4.069033410644532,,500,,
92,-3.5769599063873283,,500,,
93,-4.098540668106077,,500,,
94,-3.4507112113952627,,500,,
95,-4.053803614044186,,500,,
96,-3.602956964492799,,500,,
97,-3.976307981872557,,500,,
98,-3.3467972967147834,,500,,
99,-3.5675299648284895,,500,,
