episode,reward,success,step,cost,action_list
0,-1003.473615183258,,347,,
1,-3.9211100147247326,,500,,
2,-1002.9018196037292,,277,,
3,-1003.3345412521362,,337,,
4,-1003.7192984016418,,398,,
5,-1003.3811923339844,,351,,
6,-4.435881777191165,,500,,
7,-1003.9711437225342,,469,,
8,-1003.7051026847839,,423,,
9,-4.362705562591553,,500,,
10,-1003.419737702179,,326,,
11,-3.6818036315917975,,500,,
12,-1003.9194352409363,,417,,
13,-3.3663964450836206,,500,,
14,-3.910618914413457,,500,,
15,-4.8600637886047355,,500,,
16,-1003.5266306770325,,370,,
17,-4.729330900573725,,500,,
18,-4.028258390808109,,500,,
19,-1002.6632064537048,,246,,
20,-4.213502495956422,,500,,
21,-3.835015428543096,,500,,
22,-1002.8838191497803,,278,,
23,-1003.2054409088134,,324,,
24,-4.721809078979486,,500,,
25,-4.578822372436525,,500,,
26,-3.702212001037599,,500,,
27,-1002.7539595588684,,257,,
28,-4.5027490169525155,,500,,
29,-1004.0980398223877,,465,,
30,-3.733668389129637,,500,,
31,-4.233670484161377,,500,,
32,996.5836301440239,,470,,
33,-1003.0714930862426,,291,,
34,-1003.4403334724426,,335,,
35,-1004.0859687171936,,469,,
36,-4.04417293968201,,500,,
37,-3.7191104345321664,,500,,
38,-3.9855969032287613,,500,,
39,-4.393233864593505,,500,,
40,-3.9175769739151,,500,,
41,-4.50166149520874,,500,,
42,-1003.4212350837707,,351,,
43,-3.461774643325806,,500,,
44,-1003.6554612632752,,375,,
45,-4.293683477783199,,500,,
46,-1002.8183564537048,,255,,
47,-1003.5804124313354,,378,,
48,-3.8867661415100088,,500,,
49,-3.8810049880981468,,500,,
50,996.7507178062439,,459,,
51,-3.875449076080323,,500,,
52,-3.5124394742965714,,500,,
53,-3.648101345062256,,500,,
54,-3.627216041946412,,500,,
55,-1004.0476525947571,,433,,
56,-1002.8580140274047,,271,,
57,-1003.3357605308532,,328,,
58,996.647640766716,,452,,
59,-1004.085897505188,,466,,
60,-1003.1162090644837,,296,,
61,-1004.2627128410339,,467,,
62,-3.499684300041198,,500,,
63,-3.965748954772947,,500,,
64,-4.014202582550052,,500,,
65,-1004.1567603652953,,465,,
66,-1003.4776965988159,,359,,
67,-4.426723658752442,,500,,
68,-4.197297535705567,,500,,
69,-3.9903827936172473,,500,,
70,-4.055969329452516,,500,,
71,-1003.8092519851684,,396,,
72,-4.001714214324949,,500,,
73,-4.446722026062013,,500,,
74,-4.356702552413944,,500,,
75,-3.758823898887632,,500,,
76,-3.4307095136642443,,500,,
77,-3.530877870559692,,500,,
78,-3.7749040166854866,,500,,
79,-3.9237730522155756,,500,,
80,-3.6483204669952416,,500,,
81,996.3602923422812,,497,,
82,-3.5924708564758303,,500,,
83,-4.328566054916386,,500,,
84,-3.905565676116947,,500,,
85,-3.742763894271851,,500,,
86,-3.7463197780609123,,500,,
87,-3.8564719650268593,,500,,
88,-3.6461741987228407,,500,,
89,-3.967589845275883,,500,,
90,996.3726094436645,,493,,
91,-1003.7786875419616,,387,,
92,-3.550127921676634,,500,,
93,-1000.1361247283935,,12,,
94,-3.7728955486297573,,500,,
95,-3.5685904518127436,,500,,
96,-4.398439665985107,,500,,
97,-3.682037963867189,,500,,
98,-1000.1515932029723,,13,,
99,-3.768097383499142,,500,,
