episode,reward,success,step,cost,action_list
0,-1003.5950602790832,,365,,
1,-3.5329501377105688,,500,,
2,-1003.1864662841797,,310,,
3,-1003.8099369796753,,434,,
4,-1003.4252504501343,,353,,
5,-1003.0978557434082,,324,,
6,-3.5008247304916376,,500,,
7,-1003.5643736061096,,375,,
8,-1003.5839010780335,,386,,
9,-1002.8253114372253,,267,,
10,-3.8621918483734152,,500,,
11,-3.833455735778812,,500,,
12,-1003.0029351455688,,283,,
13,-4.29577957839966,,500,,
14,-4.4919495658874515,,500,,
15,-1003.0009747261048,,290,,
16,-4.3732441085815505,,500,,
17,-1003.4418225677491,,355,,
18,-4.348386605834961,,500,,
19,-3.9077398197174085,,500,,
20,-1003.1644419593812,,310,,
21,-3.8330434158325177,,500,,
22,-3.8474309860229483,,500,,
23,-4.068119163131714,,500,,
24,-3.7483245487213144,,500,,
25,-1004.3370101394653,,470,,
26,-3.8887506011962887,,500,,
27,-1003.0067019447326,,287,,
28,-1003.2936142662049,,321,,
29,-3.483468989181522,,500,,
30,-1003.7892993865967,,399,,
31,-3.632462030029302,,500,,
32,-1003.2926808242797,,324,,
33,-3.7222448966980015,,500,,
34,-1003.2342522033691,,313,,
35,-1002.846698123169,,256,,
36,-1003.720409387207,,388,,
37,-3.8740687824249243,,500,,
38,-3.6760284851074205,,500,,
39,-4.364353145599367,,500,,
40,-1003.522353755188,,374,,
41,-1003.5317868972778,,362,,
42,996.7670974620819,,464,,
43,-4.065726021575927,,500,,
44,-3.589477970695493,,500,,
45,-1003.6244206214905,,387,,
46,-4.083493520355223,,500,,
47,-1003.4762626693725,,354,,
48,-1004.15784271698,,494,,
49,-4.107011722946168,,500,,
50,-3.9417958236694326,,500,,
51,996.6578170830727,,460,,
52,-4.297239868164063,,500,,
53,-4.102136882019044,,500,,
54,-3.6923177852630618,,500,,
55,-3.825690355682372,,500,,
56,-4.7654959541320805,,500,,
57,-4.273271093749997,,500,,
58,-3.482429049873356,,500,,
59,-1003.7526391052246,,410,,
60,-1002.9058355178834,,270,,
61,-4.34548624267578,,500,,
62,-3.514707802963261,,500,,
63,-4.4111841316223135,,500,,
64,-4.385811445236206,,500,,
65,-1003.536567918396,,384,,
66,-1003.5841299171448,,363,,
67,-4.577824131011961,,500,,
68,-3.8622729862213134,,500,,
69,-4.235845025253292,,500,,
70,-4.066579986190798,,500,,
71,-1002.6743425704956,,248,,
72,-3.997489776229861,,500,,
73,-3.672138508033751,,500,,
74,-3.68609148750305,,500,,
75,-3.71716054916382,,500,,
76,-4.1741335891723645,,500,,
77,-4.007304811859128,,500,,
78,-3.672557210350037,,500,,
79,-3.576513440704342,,500,,
80,-3.809051417541505,,500,,
81,-1002.6544292900086,,251,,
82,-1000.1261718414306,,11,,
83,-3.742774297523498,,500,,
84,-3.49153437442779,,500,,
85,-4.243011025619508,,500,,
86,-3.650837503814698,,500,,
87,-3.5541631027221685,,500,,
88,-4.018476430511474,,500,,
89,-3.7028829727172856,,500,,
90,-3.6098232028961226,,500,,
91,-4.342944888305665,,500,,
92,-4.098040504074103,,500,,
93,-1003.7630868896484,,388,,
94,-3.935383496856689,,500,,
95,-4.246939231872558,,500,,
96,-3.6944121242523162,,500,,
97,-4.192921377563474,,500,,
98,-3.935823902130128,,500,,
99,-3.823306632232667,,500,,
