episode,reward,success,step,cost,action_list
0,-1003.6355237625122,,370,,
1,-3.6163832668304474,,500,,
2,-1003.1304220420838,,304,,
3,-1003.3959651954651,,359,,
4,-1003.4082699172974,,337,,
5,-1003.3832652641296,,352,,
6,-4.546075982666017,,500,,
7,-1004.1061603775024,,485,,
8,-1003.6177141914368,,407,,
9,-3.742687811851501,,500,,
10,-4.755953490447998,,500,,
11,-4.015557366180421,,500,,
12,-4.620761584472657,,500,,
13,-3.9989348819732653,,500,,
14,-1002.6986200271607,,253,,
15,-3.903857565879819,,500,,
16,-4.216003969573974,,500,,
17,-4.421513187408448,,500,,
18,-3.706246265029909,,500,,
19,-3.8291276741027827,,500,,
20,-3.95659317970276,,500,,
21,-4.199313761138914,,500,,
22,-4.196305065155031,,500,,
23,-1003.1498398460387,,306,,
24,-4.299558445358274,,500,,
25,996.5801535946846,,480,,
26,-1003.4049344406128,,345,,
27,-4.5492351638793975,,500,,
28,-4.39086139068603,,500,,
29,-3.7180618030548085,,500,,
30,-4.402805168151855,,500,,
31,-3.5155557909011868,,500,,
32,-4.812106136322021,,500,,
33,-1003.8600032722474,,401,,
34,996.6272321475983,,452,,
35,-3.7026623466491695,,500,,
36,-3.755808077812193,,500,,
37,-3.723209866714478,,500,,
38,-3.874875453758239,,500,,
39,-3.994911466217041,,500,,
40,-4.312723453521733,,500,,
41,-3.862936974334719,,500,,
42,-3.584874907875062,,500,,
43,-1003.8556710884094,,405,,
44,-3.7254415355682373,,500,,
45,-3.8296515855789206,,500,,
46,-1000.2798540924072,,11,,
47,-3.3948527976989764,,500,,
48,-3.424359532928466,,500,,
49,-3.880725072479248,,500,,
50,-3.3602361114502024,,500,,
51,-3.467473720169067,,500,,
52,-3.6390112468719504,,500,,
53,-4.0462208705902105,,500,,
54,996.6361442268371,,483,,
55,-3.8663627937316885,,500,,
56,-1003.9604782608033,,438,,
57,-3.7438844058990512,,500,,
58,-3.9177921016693125,,500,,
59,-3.805695454978945,,500,,
60,-3.2002966625213647,,500,,
61,996.3933417501449,,500,,
62,-3.572766323280335,,500,,
63,-1000.1961684020996,,17,,
64,-3.632571343040469,,500,,
65,-1000.1360886810303,,12,,
66,-3.5812030324935944,,500,,
67,-3.6618054809570344,,500,,
68,-4.708445549774166,,500,,
69,-3.5512813007354764,,500,,
70,-3.8859215869903583,,500,,
71,-3.7673339458465605,,500,,
72,-3.80704916114807,,500,,
73,-4.499934854125974,,500,,
74,-3.9755192657470677,,500,,
75,-3.8724707977294948,,500,,
76,-5.030319734191891,,500,,
77,-4.247834313964846,,500,,
78,996.4859305431366,,500,,
79,-3.4898267507553116,,500,,
80,-3.6133082759857196,,500,,
81,-3.825145174789428,,500,,
82,-3.813020417785643,,500,,
83,996.4700119774818,,497,,
84,-3.7877495119094835,,500,,
85,-3.368120953369142,,500,,
86,-3.654028716278077,,500,,
87,996.4893218792915,,490,,
88,-3.676604193878181,,500,,
89,-3.824761806488038,,500,,
90,-3.885965410995483,,500,,
91,-4.090194654083253,,500,,
92,-3.6865810634613077,,500,,
93,-3.7517902181625367,,500,,
94,-3.5871742694854762,,500,,
95,-3.55307686290741,,500,,
96,996.5359318831444,,468,,
97,-3.625802442932128,,500,,
98,-3.5253276966094984,,500,,
99,-3.600486521339417,,500,,
