episode,reward,success,step,cost,action_list
0,-1003.6012023216248,,365,,
1,-4.043567769622806,,500,,
2,-1002.7946905036927,,262,,
3,-1003.6361020980835,,383,,
4,-1002.9562454536438,,277,,
5,-1002.7105290359498,,249,,
6,-1002.9494481079101,,294,,
7,-3.514383630371092,,500,,
8,-1002.9365812522888,,278,,
9,-1004.165509187317,,442,,
10,-4.351614991760254,,500,,
11,-1002.8046383636475,,257,,
12,-3.900551713371275,,500,,
13,-1003.1498268226624,,302,,
14,-4.140048944091794,,500,,
15,-4.462896006011964,,500,,
16,-1002.8309280006409,,273,,
17,-4.515333939361566,,500,,
18,-1003.8171173606872,,413,,
19,-3.899512413787842,,500,,
20,-3.432409276771547,,500,,
21,-4.370369591522216,,500,,
22,-4.062070611953738,,500,,
23,-3.4123919084548917,,500,,
24,-1003.1748892562866,,322,,
25,-3.8314279617309577,,500,,
26,-4.099182251739502,,500,,
27,-3.991742477798464,,500,,
28,-1002.4379450851441,,223,,
29,-4.405639524841307,,500,,
30,-1003.9149164535522,,431,,
31,-4.21196886177063,,500,,
32,-4.032003540802004,,500,,
33,-3.743662246322628,,500,,
34,-1002.8238794204713,,260,,
35,-1003.308755910492,,317,,
36,-3.583301279830933,,500,,
37,-3.7673775043487563,,500,,
38,-3.972658172225952,,500,,
39,-1003.9761674949647,,433,,
40,-1003.4794079795838,,366,,
41,-1003.8012843978883,,415,,
42,-3.868230870056151,,500,,
43,-4.231218738555905,,500,,
44,-3.788957775115967,,500,,
45,-1002.6369569519043,,247,,
46,-3.929860601043703,,500,,
47,-1003.5970454910279,,374,,
48,-3.909916821670531,,500,,
49,-3.504402469253543,,500,,
50,-3.826200793075564,,500,,
51,996.8650173744202,,444,,
52,-3.756266962432861,,500,,
53,-3.556247336387635,,500,,
54,-3.723750793647766,,500,,
55,-3.6435902023315427,,500,,
56,-4.339371573638914,,500,,
57,-1003.4360325622558,,352,,
58,-4.769654996490479,,500,,
59,-4.146394639968868,,500,,
60,-1002.5917369750977,,235,,
61,-3.791192763900754,,500,,
62,-3.88146953125,,500,,
63,-4.548972124481199,,500,,
64,-3.337645044517523,,500,,
65,-4.254131171798706,,500,,
66,-1003.9241266197205,,415,,
67,-1004.5467720199586,,490,,
68,-1003.3517137260437,,320,,
69,-1000.1388356826783,,12,,
70,-1002.8639160743713,,272,,
71,-3.991909725189213,,500,,
72,-4.369091815948491,,500,,
73,-1003.599937915039,,368,,
74,-3.640799007225034,,500,,
75,-4.270046409225463,,500,,
76,-4.5059121898651116,,500,,
77,-3.8536630521774304,,500,,
78,-3.605945901107787,,500,,
79,-3.4158574039459224,,500,,
80,-3.7655499549865716,,500,,
81,-4.6594251144409204,,500,,
82,-3.535613885879517,,500,,
83,-3.806037263679507,,500,,
84,-3.8498131500244153,,500,,
85,-1003.6001735382081,,356,,
86,-3.8491534030914294,,500,,
87,-4.358407885360713,,500,,
88,-1004.3185304435731,,496,,
89,-3.393421935081486,,500,,
90,-3.845395746231079,,500,,
91,-3.822596581268311,,500,,
92,-4.1439498157501236,,500,,
93,-4.121099896621703,,500,,
94,-3.383427071380617,,500,,
95,-3.7430326248168946,,500,,
96,-3.7592353286743205,,500,,
97,-4.084205867385861,,500,,
98,-3.841807831573485,,500,,
99,996.5846180599212,,458,,
